Id,Weekly_Sales
1_1_2012-11-02,40979.3158509238
1_1_2012-11-09,18701.93150351605
1_1_2012-11-16,19063.05150351605
1_1_2012-11-23,20923.64150351605
1_1_2012-11-30,25305.88150351605
1_1_2012-12-07,33318.311503516044
1_1_2012-12-14,45785.421503516045
1_1_2012-12-21,46801.141503516046
1_1_2012-12-28,23363.27150351605
1_1_2013-01-04,16580.08150351605
1_1_2013-01-11,16906.79150351605
1_1_2013-01-18,18377.49150351605
1_1_2013-01-25,18390.55150351605
1_1_2013-02-01,23522.88150351605
1_1_2013-02-08,37000.881503516044
1_1_2013-02-15,54072.491503516045
1_1_2013-02-22,20136.61150351605
1_1_2013-03-01,20125.42150351605
1_1_2013-03-08,21152.46150351605
1_1_2013-03-15,22379.27150351605
1_1_2013-03-22,22120.09150351605
1_1_2013-03-29,28965.25150351605
1_1_2013-04-05,57604.51150351605
1_1_2013-04-12,34696.601503516045
1_1_2013-04-19,16988.58150351605
1_1_2013-04-26,16359.99150351605
1_1_2013-05-03,17159.83150351605
1_1_2013-05-10,18176.59150351605
1_1_2013-05-17,18530.18150351605
1_1_2013-05-24,16975.94150351605
1_1_2013-05-31,16077.88150351605
1_1_2013-06-07,17678.39150351605
1_1_2013-06-14,17571.21150351605
1_1_2013-06-21,16645.80150351605
1_1_2013-06-28,15735.21150351605
1_1_2013-07-05,17835.76150351605
1_1_2013-07-12,16578.57150351605
1_1_2013-07-19,16360.45150351605
1_1_2013-07-26,15743.57150351605
1_2_2012-11-02,46269.34249245732
1_2_2012-11-09,44930.4455489393
1_2_2012-11-16,43991.7555489393
1_2_2012-11-23,44253.565548939296
1_2_2012-11-30,45922.1155489393
1_2_2012-12-07,49351.4055489393
1_2_2012-12-14,51131.3955489393
1_2_2012-12-21,65609.3355489393
1_2_2012-12-28,43533.9155489393
1_2_2013-01-04,44475.3555489393
1_2_2013-01-11,43347.065548939296
1_2_2013-01-18,43747.4055489393
1_2_2013-01-25,41550.2055489393
1_2_2013-02-01,54316.2155489393
1_2_2013-02-08,50575.0355489393
1_2_2013-02-15,46079.4455489393
1_2_2013-02-22,47074.0955489393
1_2_2013-03-01,52602.4855489393
1_2_2013-03-08,48557.6655489393
1_2_2013-03-15,47340.2955489393
1_2_2013-03-22,44790.0055489393
1_2_2013-03-29,46523.6555489393
1_2_2013-04-05,51799.8555489393
1_2_2013-04-12,43985.1555489393
1_2_2013-04-19,45555.8255489393
1_2_2013-04-26,45450.2055489393
1_2_2013-05-03,50495.2755489393
1_2_2013-05-10,46711.7355489393
1_2_2013-05-17,44405.2055489393
1_2_2013-05-24,45811.0455489393
1_2_2013-05-31,47419.2655489393
1_2_2013-06-07,49433.5555489393
1_2_2013-06-14,46631.4555489393
1_2_2013-06-21,46068.9755489393
1_2_2013-06-28,47623.1155489393
1_2_2013-07-05,49765.8955489393
1_2_2013-07-12,44405.925548939296
1_2_2013-07-19,45102.1955489393
1_2_2013-07-26,45002.1955489393
1_3_2012-11-02,10730.23286748304
1_3_2012-11-09,9985.792121997301
1_3_2012-11-16,10130.512121997303
1_3_2012-11-23,9343.712121997301
1_3_2012-11-30,10172.692121997303
1_3_2012-12-07,12981.702121997301
1_3_2012-12-14,13206.202121997301
1_3_2012-12-21,13694.032121997301
1_3_2012-12-28,8874.592121997302
1_3_2013-01-04,13952.192121997303
1_3_2013-01-11,13848.642121997302
1_3_2013-01-18,11728.232121997302
1_3_2013-01-25,10639.322121997302
1_3_2013-02-01,12511.932121997303
1_3_2013-02-08,12415.002121997302
1_3_2013-02-15,10263.932121997303
1_3_2013-02-22,10528.552121997302
1_3_2013-03-01,11413.462121997301
1_3_2013-03-08,11951.862121997301
1_3_2013-03-15,8871.882121997302
1_3_2013-03-22,7936.372121997302
1_3_2013-03-29,9155.382121997302
