Id,Weekly_Sales
1_1_2012-11-02,30356.87
1_1_2012-11-09,24436.21
1_1_2012-11-16,24608.541
1_1_2012-11-23,34345.035
1_1_2012-11-30,27434.244
1_1_2012-12-07,33000.223
1_1_2012-12-14,39042.24
1_1_2012-12-21,49123.3
1_1_2012-12-28,23385.68
1_1_2013-01-04,17728.041
1_1_2013-01-11,15635.961
1_1_2013-01-18,15889.247
1_1_2013-01-25,15760.424
1_1_2013-02-01,23520.695
1_1_2013-02-08,29230.688
1_1_2013-02-15,30162.754
1_1_2013-02-22,19021.822
1_1_2013-03-01,21890.805
1_1_2013-03-08,21567.531
1_1_2013-03-15,20420.734
1_1_2013-03-22,20865.58
1_1_2013-03-29,23011.91
1_1_2013-04-05,25361.22
1_1_2013-04-12,20556.256
1_1_2013-04-19,17994.06
1_1_2013-04-26,16963.81
1_1_2013-05-03,18012.898
1_1_2013-05-10,17161.785
1_1_2013-05-17,16141.128
1_1_2013-05-24,16118.314
1_1_2013-05-31,16264.064
1_1_2013-06-07,17559.857
1_1_2013-06-14,16415.805
1_1_2013-06-21,16748.96
1_1_2013-06-28,17053.941
1_1_2013-07-05,18044.818
1_1_2013-07-12,16872.71
1_1_2013-07-19,16131.236
1_1_2013-07-26,15642.248
1_2_2012-11-02,45484.72
1_2_2012-11-09,44998.816
1_2_2012-11-16,43390.227
1_2_2012-11-23,44322.824
1_2_2012-11-30,43245.316
1_2_2012-12-07,44983.617
1_2_2012-12-14,50108.402
1_2_2012-12-21,60065.445
1_2_2012-12-28,34808.668
1_2_2013-01-04,46184.98
1_2_2013-01-11,43238.566
1_2_2013-01-18,43374.957
1_2_2013-01-25,42120.324
1_2_2013-02-01,49639.29
1_2_2013-02-08,47547.1
1_2_2013-02-15,46093.66
1_2_2013-02-22,46174.406
1_2_2013-03-01,49681.203
1_2_2013-03-08,47311.742
1_2_2013-03-15,47032.04
1_2_2013-03-22,45122.645
1_2_2013-03-29,46132.16
1_2_2013-04-05,48061.31
1_2_2013-04-12,45189.188
1_2_2013-04-19,45809.344
1_2_2013-04-26,44207.684
1_2_2013-05-03,49595.65
1_2_2013-05-10,46348.086
1_2_2013-05-17,46161.695
1_2_2013-05-24,45715.59
1_2_2013-05-31,48238.414
1_2_2013-06-07,48374.875
1_2_2013-06-14,46882.918
1_2_2013-06-21,44964.85
1_2_2013-06-28,46714.1
1_2_2013-07-05,47951.38
1_2_2013-07-12,45043.395
1_2_2013-07-19,44045.61
1_2_2013-07-26,43383.805
1_3_2012-11-02,9060.449
1_3_2012-11-09,8290.432
1_3_2012-11-16,8242.662
1_3_2012-11-23,8902.623
1_3_2012-11-30,11058.582
1_3_2012-12-07,10893.653
1_3_2012-12-14,12197.98
1_3_2012-12-21,11660.48
1_3_2012-12-28,8400.518
1_3_2013-01-04,13036.687
1_3_2013-01-11,12621.341
1_3_2013-01-18,13129.9795
1_3_2013-01-25,12725.565
1_3_2013-02-01,13165.746
1_3_2013-02-08,12086.316
1_3_2013-02-15,11987.347
1_3_2013-02-22,10404.957
1_3_2013-03-01,11503.841
1_3_2013-03-08,10069.503
1_3_2013-03-15,8784.46
1_3_2013-03-22,9624.378
