Id,Weekly_Sales
1_1_2012-11-02,34791.527
1_1_2012-11-09,19405.756
1_1_2012-11-16,19492.38
1_1_2012-11-23,21383.37
1_1_2012-11-30,25299.63
1_1_2012-12-07,32097.979
1_1_2012-12-14,42442.234
1_1_2012-12-21,48404.56
1_1_2012-12-28,19890.756
1_1_2013-01-04,17077.357
1_1_2013-01-11,17544.383
1_1_2013-01-18,18316.576
1_1_2013-01-25,18708.445
1_1_2013-02-01,24970.52
1_1_2013-02-08,44684.426
1_1_2013-02-15,47499.234
1_1_2013-02-22,19284.477
1_1_2013-03-01,20492.822
1_1_2013-03-08,21370.127
1_1_2013-03-15,22352.56
1_1_2013-03-22,23097.656
1_1_2013-03-29,29824.014
1_1_2013-04-05,35716.47
1_1_2013-04-12,28613.31
1_1_2013-04-19,18405.19
1_1_2013-04-26,17872.3
1_1_2013-05-03,18929.41
1_1_2013-05-10,18187.557
1_1_2013-05-17,17184.395
1_1_2013-05-24,16456.934
1_1_2013-05-31,16135.156
1_1_2013-06-07,15910.359
1_1_2013-06-14,16001.376
1_1_2013-06-21,15243.123
1_1_2013-06-28,15533.26
1_1_2013-07-05,15659.664
1_1_2013-07-12,16030.807
1_1_2013-07-19,15449.561
1_1_2013-07-26,15463.416
1_2_2012-11-02,47637.004
1_2_2012-11-09,43043.11
1_2_2012-11-16,43745.24
1_2_2012-11-23,40813.727
1_2_2012-11-30,44546.465
1_2_2012-12-07,47512.766
1_2_2012-12-14,50196.496
1_2_2012-12-21,60413.008
1_2_2012-12-28,42962.527
1_2_2013-01-04,44495.51
1_2_2013-01-11,42844.36
1_2_2013-01-18,43444.97
1_2_2013-01-25,41629.84
1_2_2013-02-01,49787.105
1_2_2013-02-08,48982.566
1_2_2013-02-15,49480.004
1_2_2013-02-22,46010.36
1_2_2013-03-01,50205.844
1_2_2013-03-08,47121.098
1_2_2013-03-15,45827.727
1_2_2013-03-22,44359.688
1_2_2013-03-29,46482.055
1_2_2013-04-05,48557.645
1_2_2013-04-12,44852.31
1_2_2013-04-19,45270.812
1_2_2013-04-26,44172.547
1_2_2013-05-03,49320.875
1_2_2013-05-10,45769.043
1_2_2013-05-17,45452.164
1_2_2013-05-24,45472.426
1_2_2013-05-31,48058.383
1_2_2013-06-07,47018.344
1_2_2013-06-14,45719.145
1_2_2013-06-21,44669.96
