Id,Weekly_Sales
1_1_2012-11-02,37062.47
1_1_2012-11-09,19119.465
1_1_2012-11-16,19301.75
1_1_2012-11-23,19865.77
1_1_2012-11-30,23905.525
1_1_2012-12-07,32401.785
1_1_2012-12-14,45342.945
1_1_2012-12-21,51359.990000000005
1_1_2012-12-28,21237.730000000003
1_1_2013-01-04,16275.965
1_1_2013-01-11,17127.050000000003
1_1_2013-01-18,17853.285
1_1_2013-01-25,18419.67
1_1_2013-02-01,23366.916666666668
1_1_2013-02-08,40305.049999999996
1_1_2013-02-15,47500.50666666666
1_1_2013-02-22,19630.530000000002
1_1_2013-03-01,20756.18
1_1_2013-03-08,21154.62
1_1_2013-03-15,21612.583333333332
1_1_2013-03-22,23072.670000000002
1_1_2013-03-29,35536.46
1_1_2013-04-05,41475.60666666667
1_1_2013-04-12,27014.513333333336
1_1_2013-04-19,27877.283333333336
1_1_2013-04-26,24805.033333333336
1_1_2013-05-03,18233.19
1_1_2013-05-10,18108.696666666667
1_1_2013-05-17,16142.536666666667
1_1_2013-05-24,16095.193333333335
1_1_2013-05-31,16685.91
1_1_2013-06-07,16729.046666666665
1_1_2013-06-14,16251.06
1_1_2013-06-21,16214.980000000001
1_1_2013-06-28,15806.486666666666
1_1_2013-07-05,17220.333333333332
1_1_2013-07-12,16457.29
1_1_2013-07-19,15825.036666666667
1_1_2013-07-26,15678.470000000001
1_2_2012-11-02,46847.525
1_2_2012-11-09,44065.479999999996
1_2_2012-11-16,42720.515
1_2_2012-11-23,44970.785
1_2_2012-11-30,45166.58
1_2_2012-12-07,48156.625
1_2_2012-12-14,50220.35
1_2_2012-12-21,62752.34
1_2_2012-12-28,39679.885
1_2_2013-01-04,43841.835
1_2_2013-01-11,41605.244999999995
1_2_2013-01-18,42675.21
1_2_2013-01-25,41603.62
1_2_2013-02-01,50585.543333333335
1_2_2013-02-08,47619.71666666667
1_2_2013-02-15,47738.806666666664
1_2_2013-02-22,45846.079999999994
1_2_2013-03-01,51347.34333333333
1_2_2013-03-08,46927.11666666667
1_2_2013-03-15,45394.70333333333
1_2_2013-03-22,43660.70666666667
1_2_2013-03-29,46990.58666666667
1_2_2013-04-05,48952.46666666667
1_2_2013-04-12,44493.64666666667
1_2_2013-04-19,45508.17333333334
1_2_2013-04-26,45036.64666666667
1_2_2013-05-03,49514.74333333334
1_2_2013-05-10,44889.17333333333
1_2_2013-05-17,44344.16333333333
1_2_2013-05-24,45169.56666666667
1_2_2013-05-31,48008.01
1_2_2013-06-07,47631.01666666667
1_2_2013-06-14,44668.60666666667
1_2_2013-06-21,44596.909999999996
1_2_2013-06-28,46651.533333333326
1_2_2013-07-05,47049.090000000004
1_2_2013-07-12,44004.03666666666
1_2_2013-07-19,44995.03666666666
1_2_2013-07-26,44677.66999999999
1_3_2012-11-02,9507.21
1_3_2012-11-09,9553.205
