Id,Weekly_Sales
1_1_2012-11-02,21618.095703125
1_1_2012-11-09,20737.087890625
1_1_2012-11-16,22016.884765625
1_1_2012-11-23,22729.158203125
1_1_2012-11-30,22132.109375
1_1_2012-12-07,20384.015625
1_1_2012-12-14,22822.015625
1_1_2012-12-21,21564.330078125
1_1_2012-12-28,24964.24609375
1_1_2013-01-04,24295.591796875
1_1_2013-01-11,22620.470703125
1_1_2013-01-18,24093.748046875
1_1_2013-01-25,22022.5859375
1_1_2013-02-01,21535.572265625
1_1_2013-02-08,22756.251953125
1_1_2013-02-15,22810.54296875
1_1_2013-02-22,22736.630859375
1_1_2013-03-01,23223.384765625
1_1_2013-03-08,22672.45703125
1_1_2013-03-15,21781.3671875
1_1_2013-03-22,20554.162109375
1_1_2013-03-29,22658.046875
1_1_2013-04-05,21295.9609375
1_1_2013-04-12,20689.052734375
1_1_2013-04-19,20120.544921875
1_1_2013-04-26,21215.26953125
1_1_2013-05-03,-57.66313934326172
1_1_2013-05-10,-57.66313934326172
1_1_2013-05-17,-57.66313934326172
1_1_2013-05-24,-57.66313934326172
1_1_2013-05-31,-57.66313934326172
1_1_2013-06-07,-57.66313934326172
1_1_2013-06-14,-57.66313934326172
1_1_2013-06-21,-57.66313934326172
1_1_2013-06-28,-57.66313934326172
1_1_2013-07-05,-57.66313934326172
1_1_2013-07-12,-57.66313934326172
1_1_2013-07-19,-57.66313934326172
1_1_2013-07-26,-57.66313934326172
1_2_2012-11-02,48491.8984375
1_2_2012-11-09,48255.21875
1_2_2012-11-16,48393.7109375
1_2_2012-11-23,49101.5078125
1_2_2012-11-30,48360.23828125
1_2_2012-12-07,48052.859375
1_2_2012-12-14,48407.703125
1_2_2012-12-21,48149.24609375
1_2_2012-12-28,49293.33203125
1_2_2013-01-04,48765.5078125
1_2_2013-01-11,48563.51171875
1_2_2013-01-18,48794.28125
1_2_2013-01-25,48468.7265625
1_2_2013-02-01,48410.71875
1_2_2013-02-08,49453.64453125
1_2_2013-02-15,48866.3828125
1_2_2013-02-22,49008.59765625
1_2_2013-03-01,49213.08984375
1_2_2013-03-08,49086.91796875
1_2_2013-03-15,48936.49609375
1_2_2013-03-22,48722.78125
1_2_2013-03-29,49038.01953125
1_2_2013-04-05,49130.79296875
1_2_2013-04-12,48965.66796875
1_2_2013-04-19,48759.69140625
1_2_2013-04-26,48918.65234375
1_2_2013-05-03,-57.66313934326172
1_2_2013-05-10,-57.66313934326172
1_2_2013-05-17,-57.66313934326172
1_2_2013-05-24,-57.66313934326172
1_2_2013-05-31,-57.66313934326172
1_2_2013-06-07,-57.66313934326172
1_2_2013-06-14,-57.66313934326172
1_2_2013-06-21,-57.66313934326172
1_2_2013-06-28,-57.66313934326172
1_2_2013-07-05,-57.66313934326172
1_2_2013-07-12,-57.66313934326172
1_2_2013-07-19,-57.66313934326172
1_2_2013-07-26,-57.66313934326172
1_3_2012-11-02,11179.318359375
1_3_2012-11-09,10763.26953125
1_3_2012-11-16,11413.87109375
1_3_2012-11-23,11725.0263671875
1_3_2012-11-30,11482.6875
1_3_2012-12-07,10605.748046875
1_3_2012-12-14,11795.5693359375
1_3_2012-12-21,11266.8154296875
1_3_2012-12-28,12843.7333984375
1_3_2013-01-04,12522.193359375
1_3_2013-01-11,11666.21484375
1_3_2013-01-18,12389.4013671875
1_3_2013-01-25,11444.0693359375
1_3_2013-02-01,11205.6806640625
1_3_2013-02-08,11665.478515625
1_3_2013-02-15,11639.3369140625
1_3_2013-02-22,11556.20703125
1_3_2013-03-01,11729.5654296875
1_3_2013-03-08,11516.3095703125
1_3_2013-03-15,11201.3095703125
1_3_2013-03-22,10605.1748046875
1_3_2013-03-29,11546.859375
1_3_2013-04-05,10958.6181640625
1_3_2013-04-12,10675.8818359375
1_3_2013-04-19,10376.109375
1_3_2013-04-26,10979.740234375
1_3_2013-05-03,-57.66313934326172
1_3_2013-05-10,-57.66313934326172
1_3_2013-05-17,-57.66313934326172
